trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
20230530,000681.SZ,视觉中国,互联网,江苏,52.59,6.72,7.01,39.66,4.75,0.02,16.12,2.30,0.08,4.88,3.49,19970121,16.86,2.41,-14.87,85.73,56.58,43.13,63733
20230530,000682.SZ,东方电子,电气设备,山东,40.24,13.41,13.41,96.82,79.32,6.56,11.57,0.86,0.06,3.15,2.93,19970121,16.56,1.24,21.81,26.32,30.98,6.88,79697
20230530,000683.SZ,远兴能源,化工原料,内蒙,9.28,32.77,36.22,316.67,82.48,96.09,2.72,0.08,0.18,3.66,1.83,19970131,91.70,2.53,-6.46,-17.50,41.55,31.09,108157
20230530,000685.SZ,中山公用,水务,广东,9.94,12.53,14.75,259.09,40.02,20.57,18.27,1.24,0.20,10.83,0.72,19970123,111.75,7.58,58.09,50.29,21.28,33.18,39626
20230530,000686.SZ,东北证券,证券,吉林,11.32,23.40,23.40,837.50,0.00,7.16,57.46,2.46,0.16,7.87,0.92,19970227,63.42,2.71,130.73,244.09,25.80,21.04,99054
20230530,000688.SZ,国城矿业,铅锌,重庆,268.01,11.18,11.18,78.84,3.45,9.96,2.69,0.24,0.02,2.48,6.71,19970120,11.29,1.01,-17.88,-59.56,46.72,2.95,17833
20230530,000690.SZ,宝新能源,火力发电,广东,160.81,21.74,21.76,205.37,77.76,75.78,29.86,1.37,0.01,5.20,1.46,19970128,49.42,2.27,-2.19,585.54,4.59,1.19,73728
20230530,000691.SZ,亚太实业,化工原料,甘肃,242.99,3.23,3.23,7.26,2.57,2.42,1.84,0.57,0.00,0.44,9.37,19970228,-3.79,-1.17,69.17,144.94,19.26,3.67,17669
20230530,000692.SZ,*ST惠天,供气供热,辽宁,0.00,5.33,5.33,50.29,16.31,24.36,4.56,0.86,-0.48,-3.98,-0.56,19970227,-32.77,-6.15,-6.64,63.06,-17.27,-25.15,36121
20230530,000695.SZ,滨海能源,广告包装,天津,0.00,2.22,2.22,8.21,6.35,1.46,0.75,0.34,-0.11,0.80,17.56,19970218,-1.33,-0.60,-26.97,-64.55,-8.35,-42.10,9819
20230530,000697.SZ,*ST炼石,航空,陕西,0.00,5.77,6.72,29.21,9.12,7.84,20.31,3.02,-0.13,-0.73,-8.59,19970325,-31.39,-4.67,24.33,-3.72,3.90,-24.31,42206
20230530,000698.SZ,沈阳化工,石油加工,辽宁,0.00,7.86,8.20,67.02,32.28,23.50,13.36,1.63,-0.13,2.31,1.77,19970220,-6.32,-0.77,-21.13,7.90,2.85,-9.17,65397
20230530,000700.SZ,模塑科技,汽车配件,江苏,17.23,9.17,9.17,89.67,49.01,26.06,6.43,0.70,0.07,3.38,1.48,19970228,12.27,1.34,14.16,-28.39,17.63,3.75,58480
20230530,000701.SZ,厦门信达,商贸代理,福建,119.68,4.11,5.65,203.48,159.58,14.38,22.45,3.97,-0.05,0.85,7.16,19970226,-23.88,-4.23,-9.19,-4.52,1.29,0.09,39896
20230530,000702.SZ,正虹科技,饲料,湖南,0.00,2.67,2.67,7.71,3.29,2.38,1.85,0.69,-0.11,0.75,6.80,19970318,-3.05,-1.14,31.43,34.79,-0.60,-14.92,26959
20230530,000703.SZ,恒逸石化,化纤,广西,179.13,36.47,36.66,1072.33,375.64,465.79,90.76,2.48,0.01,6.39,1.07,19970328,118.06,3.22,-14.65,-95.24,4.24,0.59,56179
20230530,000705.SZ,浙江震元,医药商业,浙江,37.62,2.82,3.34,31.81,20.67,4.40,5.33,1.60,0.06,5.81,1.44,19970410,8.39,2.51,13.88,22.32,17.80,1.81,33181
20230530,000707.SZ,双环科技,化工原料,湖北,4.22,4.64,4.64,29.31,11.74,11.14,11.81,2.54,0.48,3.65,2.24,19970415,-1.64,-0.35,9.40,16.98,25.99,20.01,51863
20230530,000708.SZ,中信特钢,特种钢,湖北,13.37,50.47,50.47,1209.89,549.51,487.24,93.76,1.86,0.29,7.42,2.11,19970326,211.21,4.18,13.80,-24.01,13.56,5.38,25681
20230530,000709.SZ,河钢股份,普钢,河北,23.53,103.35,103.37,2545.14,730.70,1398.08,226.57,2.19,0.02,4.99,0.46,19970416,157.21,1.52,2.41,-18.25,9.96,0.94,292143
20230530,000710.SZ,贝瑞基因,医疗保健,四川,0.00,3.07,3.55,31.71,17.40,7.78,12.11,3.41,-0.06,6.42,1.82,19970422,6.63,1.87,-10.62,-73.86,47.42,-7.18,52994
20230530,000711.SZ,*ST京蓝,环境保护,黑龙江,0.00,9.82,10.24,76.69,47.88,2.67,41.69,4.07,-0.09,-0.59,-2.18,19970411,-57.35,-5.60,-1.93,-10.01,2.21,-189.77,57836
20230530,000712.SZ,锦龙股份,证券,广东,0.00,8.95,8.96,229.49,0.00,0.76,7.06,0.79,-0.00,3.18,4.07,19970415,7.75,0.87,204.48,98.81,14.33,6.43,41262
20230530,000713.SZ,丰乐种业,种植业,安徽,168.83,6.14,6.14,29.30,15.69,5.81,4.49,0.73,0.01,3.15,2.80,19970422,7.65,1.25,10.96,9.72,12.71,1.28,81305
20230530,000715.SZ,中兴商业,百货,辽宁,32.81,4.15,4.16,25.15,15.04,6.41,1.80,0.43,0.06,4.23,1.82,19970508,9.54,2.29,6.06,25.82,53.75,10.98,15000
20230530,000716.SZ,黑芝麻,食品,广西,117.12,6.89,7.44,46.98,16.87,13.55,15.67,2.11,0.01,3.34,1.95,19970418,1.38,0.19,-9.22,62.25,18.97,1.67,138781
20230530,000717.SZ,中南股份,普钢,广东,288.64,24.24,24.24,215.42,58.33,119.89,31.63,1.30,0.00,3.78,0.75,19970508,24.24,1.00,30.44,-94.64,2.73,0.07,93361
20230530,000718.SZ,苏宁环球,区域地产,吉林,16.81,22.90,30.35,151.21,114.79,8.19,6.06,0.20,0.04,3.17,0.89,19970408,50.61,1.67,-9.03,-4.42,65.49,29.12,88536
20230530,000719.SZ,中原传媒,出版业,河南,29.60,6.67,10.23,160.42,83.35,14.45,27.62,2.70,0.10,9.72,1.20,19970331,62.30,6.09,6.01,4.89,33.08,5.42,24176
20230530,000720.SZ,新能泰山,电气设备,山东,0.00,12.57,12.57,53.47,46.87,0.61,5.56,0.44,-0.02,2.02,2.63,19970509,5.73,0.46,-20.51,36.63,3.65,-3.39,46099
20230530,000721.SZ,西安饮食,酒店餐饮,陕西,0.00,4.36,5.74,16.13,2.58,2.99,2.84,0.50,-0.05,0.88,12.93,19970430,-4.07,-0.71,53.51,38.47,23.09,-17.88,140000
20230530,000722.SZ,湖南发展,其他建材,湖南,374.15,4.64,4.64,33.25,11.06,12.81,21.35,4.60,0.01,6.77,1.83,19970522,4.64,1.00,-58.89,-90.47,14.96,5.99,74110
20230530,000723.SZ,美锦能源,焦炭加工,山西,19.46,39.72,43.26,373.76,104.84,152.57,15.84,0.37,0.09,3.33,2.17,19970515,83.39,1.93,-13.65,-40.52,20.09,7.76,339905
